,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
Zfp326,144.4678422,1.223540021,0.350403993,3.491798171,0.000479781,0.037615874,138.6,149.8
Evl,238.5877565,0.996047292,0.286300247,3.479030505,0.000503231,0.039235267,213.6,271.4
Gpr183,828.1587672,0.722364414,0.207783,3.476532791,0.000507942,0.039383755,728.6,1127.2
Cep57,237.6203509,0.724650707,0.209163517,3.4645177,0.000531183,0.040959477,204.6,315
Fam76b,309.1209023,0.868501591,0.251096824,3.458831454,0.000542524,0.041379271,274.7,390.9
Gm48889,9.132556491,6.549957025,1.893086714,3.459935024,0.000540306,0.041379271,13.9,0.3
Cdc42ep4,8.768403552,6.489108943,1.87883821,3.453788043,0.000552772,0.041932958,14.5,0.3
Cenpj,110.9063333,1.475473014,0.427583165,3.45072757,0.000559078,0.042183307,90.9,99.8
Cysltr2,197.7198457,-0.909295391,0.263907045,-3.445513894,0.000569975,0.042775532,105.9,460.9
1810053B23Rik,6.980817214,-5.627385357,1.635693026,-3.440367642,0.000580924,0.042908918,0,23.1
Klra1,9.807599704,6.668016752,1.937114218,3.442242429,0.000576913,0.042908918,23.6,0.3
Pikfyve,65.21529683,2.478735888,0.720247666,3.441504922,0.000578488,0.042908918,63.3,32.4
Per3,10.2692218,-4.445736417,1.294907822,-3.433245471,0.000596402,0.043821487,0.8,31.8
Macf1,1955.140689,0.553828129,0.161429429,3.430775504,0.000601858,0.043992092,1563,2774.7
Gm45873,8.887718048,-5.657284782,1.653963283,-3.420441578,0.000625196,0.045461116,0.1,30.5
Utrn,1319.522676,0.618872305,0.18101776,3.418848548,0.000628867,0.045492382,1097,1829.9
Rcor3,109.7567033,1.052124463,0.308626482,3.409054391,0.000651885,0.046840933,113.7,127.3
Smc1a,684.4160655,0.49657605,0.14570493,3.408093678,0.000654184,0.046840933,610.3,1018.1
D130019J16Rik,9.657352933,6.91387888,2.034159169,3.398887849,0.000676605,0.048200346,11.4,0.2
Adam19,805.6368123,-0.743732992,0.21921072,-3.39277656,0.00069188,0.048793221,467.1,1839.6
Rab27a,447.9525964,-0.531483568,0.156629144,-3.393261006,0.000690658,0.048793221,271.5,955.4
Gspt1,339.3428121,0.512145848,0.151020959,3.391223638,0.000695813,0.048825197,296.9,490.4
Tnfrsf9,1758.450784,-0.599831704,0.177049251,-3.387936976,0.000704204,0.049168184,1064.8,3693
Pstpip1,772.4490182,-0.504347648,0.149019668,-3.384436805,0.000713244,0.049552828,461.6,1630
Smg1,762.6116986,0.61316061,0.181516308,3.37799186,0.000730172,0.050479014,672.7,1085.7
Slamf7,362.3797639,0.811053624,0.240275775,3.375511433,0.000736786,0.050686564,350.9,460
Prpf18,421.7233386,-0.601521955,0.178468787,-3.370460262,0.000750427,0.051373154,262.4,912.5
5033430I15Rik,11.06623523,-4.254077799,1.264816563,-3.363395074,0.000769901,0.052450438,1.5,41.8
Gm37943,8.749126941,7.362225502,2.191343003,3.359686498,0.00078031,0.052680041,8.2,0
Ybx3,1079.032741,0.647292361,0.192674035,3.359520455,0.000780779,0.052680041,987.6,1494
Kmt2c,741.8225321,0.642192662,0.191415317,3.35497008,0.000793736,0.053298022,626.4,1041.9
Emc10,349.3924413,-0.716772847,0.214377926,-3.343501171,0.000827283,0.055286171,235,766.7
2810025M15Rik,11.09964649,-4.415954352,1.322091334,-3.340128051,0.000837398,0.055696868,0.6,35.9
Ppp3ca,715.6972816,-0.454316731,0.136088228,-3.33839847,0.000842628,0.055780396,484.3,1487
A430078G23Rik,63.92298992,1.449220125,0.434494068,3.335419815,0.000851707,0.056116703,57.1,58.5
AU020206,2041.47139,-0.349917755,0.10504311,-3.331182352,0.000864779,0.056592862,1376.8,4043.7
Jmjd1c,812.0529591,0.662925406,0.199196381,3.327999255,0.000874721,0.056592862,693.2,1138.7
Nr4a2,1673.477631,-0.539417153,0.16208984,-3.32788997,0.000875064,0.056592862,946.7,3573.9
Rapgef4,26.0954379,2.854705912,0.857263328,3.330022196,0.000868391,0.056592862,30.9,11.6
Vsir,690.1336852,-0.588979253,0.177907139,-3.310599329,0.000930964,0.059931878,444.2,1466.8
Map11,277.0648751,-0.855147342,0.258580456,-3.307084211,0.000942725,0.060411915,171.8,622.9
Galm,31.08227019,-2.478480795,0.752064495,-3.295569479,0.000982224,0.06265697,9,96.5
Tut4,1169.04853,0.716702756,0.217660236,3.292759249,0.000992094,0.063000205,996.7,1573.9
Stat3,2937.363444,-0.390058084,0.118708793,-3.285839854,0.001016788,0.063989251,1892.4,5905.7
Suz12,402.553695,0.500601229,0.152330123,3.286291757,0.001015158,0.063989251,360.1,594.9
Map6,25.0099219,-2.688487363,0.81864954,-3.284051639,0.001023262,0.064109174,8.1,78.1
B4galt5,657.1202624,-0.543582015,0.16565339,-3.281442135,0.001032777,0.064132718,437.3,1406.6
Mcpt1,9.514831201,6.60639295,2.01285932,3.282093728,0.001030393,0.064132718,12,0.3
Ik,520.3930545,0.591822119,0.18054172,3.27803523,0.001045323,0.064625858,457,747
Ncl,3673.571281,0.391816414,0.119926987,3.267124632,0.001086458,0.066874373,3155.8,5597.8
Rev3l,281.2871104,1.02396981,0.313646064,3.26473031,0.001095683,0.067147693,240.2,327.2
Tasor,334.2055275,1.081472795,0.331576582,3.261607886,0.001107823,0.06759645,292.9,385.4
Dnajc2,315.6704347,0.635565157,0.195570236,3.249805137,0.001154841,0.070160347,281.7,441.1
R3hdm2,334.2253098,0.868705467,0.267565117,3.246706738,0.001167486,0.070622851,316.3,420.9
Gm42737,5.730800277,-4.680410031,1.442913404,-3.243722054,0.001179788,0.070757035,0.2,21.2
mt-Cytb,9732.771684,0.615859515,0.189822289,3.244400429,0.001176982,0.070757035,11344,13731.5
Ccdc62,7.187959809,-4.722798374,1.457199674,-3.241009766,0.001191071,0.071129749,7.3,24.1
Depdc1a,8.725332234,-5.608396293,1.732056168,-3.237999089,0.001203712,0.071580057,0.1,29.8
Dap3,129.9756221,0.975441478,0.301516592,3.23511709,0.001215929,0.071703343,118.9,154.1
Sdc2,124.303034,2.971354474,0.91847392,3.235099451,0.001216004,0.071703343,248.8,52.4
Kidins220,227.6649257,0.702079938,0.217311073,3.230760064,0.001234615,0.072383206,225,311.1
Wdr62,9.442759209,-2.848006645,0.881732435,-3.230012339,0.001237849,0.072383206,2.6,28.8
1700025G04Rik,149.7403134,1.465463011,0.45401401,3.227792491,0.001247494,0.072443747,157.8,145.9
Btbd6,26.5546945,-2.561513811,0.79367727,-3.227399736,0.001249208,0.072443747,7.6,76.5
Klra9,5.521292042,6.406096,1.986519938,3.224783138,0.001260681,0.072808234,6.2,0.1
Jaml,591.8289148,0.490168924,0.152158982,3.221426151,0.001275543,0.07336465,534.3,875.3
Xrcc1,132.3829403,0.924937577,0.288143749,3.209986613,0.001327412,0.0760363,117.1,166
Cxcr4,446.827706,0.972774412,0.303241891,3.207915665,0.001337007,0.076274618,361.3,547.7
Kcnq1ot1,618.40807,0.616650573,0.192443369,3.204322274,0.001353808,0.076920436,536.4,851.2
Gm23935,634.9358737,0.800801225,0.250091559,3.202032201,0.001364617,0.077221939,512.1,809.7
Anp32a,308.3880438,0.597138577,0.186639341,3.199425014,0.00137702,0.077300397,294.7,442.8
Gm9752,6.712576106,6.992182726,2.185434277,3.199447725,0.001376912,0.077300397,13.7,0
Gm15796,9.473372002,-3.10644559,0.971860083,-3.196391788,0.00139158,0.077806517,1.6,29.4
Snx4,202.0153233,0.91756641,0.287654355,3.189822769,0.001423601,0.079281,200,255.2
Pbx3,62.60406855,-2.031172084,0.637613467,-3.185585294,0.001444615,0.080133315,21.7,177
Fam20a,144.2457563,-1.398374717,0.43959727,-3.181035943,0.001467494,0.081081944,59.8,370
Lim2,6.486779074,-5.522762033,1.738768568,-3.176249062,0.001491928,0.082108697,0,23.9
Prex1,1290.185385,-0.407225401,0.12829284,-3.174186499,0.001502571,0.082291077,868.7,2608.7
Tnfsf14,54.4018454,1.806801485,0.569369362,3.173338092,0.001506969,0.082291077,61.5,46.4
Eif3a,1470.480835,0.473372655,0.149637294,3.16346709,0.00155902,0.083292443,1254.9,2162.9
Gm47389,13.56168254,-4.34904832,1.374423553,-3.164270804,0.001554721,0.083292443,1.1,44.4
Gpr55,100.6517329,1.777915819,0.561993013,3.163590612,0.001558358,0.083292443,99.8,76.4
Klrc2,74.28407384,-1.694612354,0.534843221,-3.168428219,0.001532656,0.083292443,27.7,191.6
Ly6a2,15.2838554,5.672955032,1.791168284,3.167181489,0.001539242,0.083292443,10.8,1
Rpl29,463.3166007,0.563646578,0.178193626,3.163113012,0.001560917,0.083292443,441.5,654.3
Itk,1883.980112,0.3914271,0.123819427,3.161273719,0.001570808,0.083502732,1477.5,2907.2
Gm47545,9.529627177,7.491133828,2.371876235,3.158315648,0.001586836,0.08403646,13.8,0
Dctn6,188.2328923,-0.814500913,0.258127429,-3.155421791,0.001602662,0.084555498,117.4,426.9
Zfpm2,8.344989204,7.004534384,2.220902152,3.153913998,0.001610966,0.084675244,15.2,0.1
Nedd4,353.3096379,0.590569801,0.187419468,3.151059,0.001626796,0.085188278,340.4,506.7
Pdlim1,108.4651479,1.445050174,0.458848904,3.149294162,0.001636654,0.085385861,126.5,108
Rassf6,4.914064563,-4.067904612,1.292208987,-3.148023775,0.001643783,0.0854402,0.3,17.3
Foxn3,706.6446596,-0.617888792,0.196576568,-3.143247423,0.001670845,0.086152342,486.2,1509.5
Gm4668,6.417974856,-5.505855872,1.752138659,-3.142363102,0.001675901,0.086152342,0,21.9
Tmsb4x,35990.44605,-0.291949439,0.092879783,-3.143304493,0.00167052,0.086152342,25135.6,69695.3
Ubash3b,755.1677968,-0.664770276,0.211688751,-3.140319322,0.001687638,0.086439079,423.2,1646.8
Gm13900,6.160893032,6.567235884,2.101628419,3.124832071,0.001779066,0.090461634,9.2,0.1
Nfx1,407.5868479,0.619445598,0.198218592,3.125063053,0.00177767,0.090461634,364.3,570.9
Ccdc166,22.31947815,-2.878448471,0.921732395,-3.122867859,0.001790981,0.090738746,6.7,67
Klf10,188.7369063,1.164041726,0.373029515,3.120508376,0.001805392,0.091017595,154.8,200
Sfmbt1,79.51149815,-1.499800781,0.48072911,-3.119845982,0.001809456,0.091017595,33.7,211.6
Gm12229,7.068835189,-4.972130102,1.596692752,-3.114018082,0.001845582,0.092191747,0.2,27.3
Klra13-ps,71.02193469,2.427774312,0.779641777,3.113961287,0.001845937,0.092191747,105.1,42.6
Ppa1,151.4943934,-0.925551055,0.297804605,-3.107913847,0.00188413,0.093379053,99.2,336.4
Sh3pxd2a,33.15967359,3.06248316,0.985657572,3.107045741,0.001889672,0.093379053,50.1,11.6
Stat4,693.5905647,0.617256638,0.198566374,3.108565792,0.001879978,0.093379053,584.8,964.4
