"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CreN"	"CreP"	"1"	"2"
"321"	"Mrpl54"	198.7636333	-0.855995153	0.281666325	-3.039039737	0.002373335	0.103118855	96.1	447.9	0.000201604581868797	1.00015040023961
"322"	"Tprg"	5.16133581	-5.190858838	1.705043579	-3.044414174	0.002331339	0.103118855	0	16.5	0.00020160458194729	1.00015040023965
"323"	"Trdmt1"	6.740374683	-5.244270787	1.724511987	-3.0410173	0.002357803	0.103118855	0.1	23.6	0.000201604581876236	1.00015040023961
"324"	"Ube2d3"	1207.110837	0.334001302	0.110018241	3.03587205	0.002398411	0.103440307	987	1868.1	0.000201604581868797	1.00015040023961
"325"	"Zdhhc20"	618.0296654	-0.482067775	0.158741034	-3.036818928	0.00239089	0.103440307	401.7	1298.5	0.000201604581868797	1.00015040023961
"326"	"Zmiz2"	438.6095867	-0.519706379	0.171219917	-3.035314986	0.002402846	0.103440307	283.8	900.8	0.000201604581868797	1.00015040023961
"327"	"4932438A13Rik"	998.5097163	0.541813263	0.178840559	3.029588289	0.002448873	0.10477892	812.7	1422.6	0.000201604581868797	1.00015040023961
"328"	"Lmna"	243.4271763	1.022148836	0.337286842	3.030503145	0.002441466	0.10477892	281.5	279.4	0.000201615828673674	1.00015040831968
"329"	"Clec2d"	75.91475951	1.621956107	0.535635951	3.028094182	0.002461014	0.104978319	57.8	66	0.955545181719143	0.0434009636793825
"330"	"Gm5857"	5.630431885	-3.603518571	1.191384791	-3.024647114	0.002489234	0.105860324	0.6	18.4	0.000201604582163395	1.00015040023977
"331"	"Impa1"	249.6468845	-0.69537696	0.230338583	-3.018933916	0.002536659	0.107510614	157.3	542.9	0.000201604581868797	1.00015040023961
"332"	"Nbn"	57.90648898	1.826399271	0.605141793	3.018134414	0.002543361	0.107510614	57.7	47.7	0.955551732597189	0.0434039085475735
"333"	"Cenpa"	624.2585733	-0.514471909	0.170601277	-3.015639269	0.002564381	0.107750087	395.5	1299.5	0.000201604581868797	1.00015040023961
"334"	"Uhrf2"	970.8713577	-0.746453412	0.247461752	-3.016439533	0.002557622	0.107750087	551.8	2136.9	0.000201604581868797	1.00015040023961
"335"	"Chd3"	657.5107833	0.434877732	0.14432674	3.013147326	0.002585534	0.108314565	551.6	978.7	0.000201604581868797	1.00015040023961
"336"	"Gm12912"	7.581290756	-2.464861223	0.818407874	-3.011776038	0.002597241	0.108481209	2	22.2	0.000201604582321213	1.00015040023985
